point_mutations	transitions	transversions	TiTv_ratio	weighted_score	cases
23024	18259	4765	3.83	33078.1500000019	MN654976.1|Camelus dromedarius|Saudi Arabia|
23110	18053	5057	3.57	33780.270000002	MF598625.1|Camelus dromedarius|United Arab Emirates|Mar-2015
23242	18301	4941	3.70	33667.510000002	KT368872.1|camel|Saudi Arabia|Mar-2015
23326	17929	5397	3.32	34713.6700000022	MF598688.1|Camelus dromedarius|United Arab Emirates|Mar-2015
23331	18236	5095	3.58	34081.4500000021	MN655004.1|Camelus dromedarius|Saudi Arabia|
23414	18393	5021	3.66	34008.310000002	MF598620.1|Camelus dromedarius|United Arab Emirates|Mar-2015
23421	17032	6389	2.67	36901.7900000027	KT026455.1|Homo sapiens|Saudi Arabia|10-Feb-2015,KT026453.1|Homo sapiens|Saudi Arabia|10-Feb-2015
23545	16810	6735	2.50	37755.8500000029	MK280984.2|Homo sapiens|Qatar|21-May-2015
23549	17896	5653	3.17	35476.8300000023	KT368889.1|camel|Saudi Arabia|Mar-2015
23553	18030	5523	3.26	35206.5300000023	MF598606.1|Camelus dromedarius|United Arab Emirates|Mar-2015
23737	18700	5037	3.71	34365.0700000021	MN654984.1|Camelus dromedarius|Saudi Arabia|
23758	18027	5731	3.15	35850.4100000024	KT368878.1|camel|Saudi Arabia|Mar-2015
23960	19075	4885	3.90	34267.350000002	KT806048.1|Homo sapiens|Saudi Arabia|07-Feb-2015
24106	17581	6525	2.69	37873.7500000028	MF598608.1|Camelus dromedarius|United Arab Emirates|Mar-2015
24166	17865	6301	2.84	37461.1100000027	KT368826.1|camel|Saudi Arabia|Jul-2014
24174	19261	4913	3.92	34540.430000002	KT368868.1|camel|Saudi Arabia|Mar-2015
24184	18875	5309	3.56	35385.9900000022	KT026454.1|Homo sapiens|Saudi Arabia|01-Mar-2015
24194	18715	5479	3.42	35754.6900000023	MF598660.1|Camelus dromedarius|United Arab Emirates|Mar-2015
24275	18962	5313	3.57	35485.4300000022	KF600628.1|Homo sapiens|Saudi Arabia|04-Jun-2013
24304	18179	6125	2.97	37227.7500000026	KT806053.1|Homo sapiens|Saudi Arabia|02-Feb-2015
24338	18365	5973	3.07	36941.0300000025	KX108945.1|Camelus dromedarius|United Arab Emirates|29-May-2015
24354	18403	5951	3.09	36910.6100000025	MF598602.1|Camelus dromedarius|United Arab Emirates|Mar-2015
24387	19072	5315	3.59	35601.6500000022	KT368860.1|camel|Saudi Arabia|Jan-2015,KT368858.1|camel|Saudi Arabia|Jan-2015,KT368859.1|camel|Saudi Arabia|Jan-2015
24388	19823	4565	4.34	34020.1500000018	KT368885.1|camel|Saudi Arabia|Apr-2015,KT368886.1|camel|Saudi Arabia|Apr-2015,KT368884.1|camel|Saudi Arabia|Apr-2015
24402	18689	5713	3.27	36456.4300000024	KT368871.1|camel|Saudi Arabia|Mar-2015
24403	18692	5711	3.27	36453.2100000024	KT368862.1|camel|Saudi Arabia|Jan-2015,KT368865.1|camel|Saudi Arabia|Jan-2015,KT368864.1|camel|Saudi Arabia|Jan-2015,KT368863.1|camel|Saudi Arabia|Jan-2015
24457	18952	5505	3.44	36072.5500000023	MF598622.1|Camelus dromedarius|United Arab Emirates|Mar-2015
24570	19657	4913	4.00	34936.430000002	KT368877.1|camel|Saudi Arabia|Mar-2015,KT368876.1|camel|Saudi Arabia|Mar-2015
24619	19444	5175	3.76	35538.2500000021	MF598665.1|Camelus dromedarius|United Arab Emirates|Mar-2015
24624	20083	4541	4.42	34205.5100000019	KY688124.1|Homo sapiens|Saudi Arabia|20-May-2015,KY688122.1|Homo sapiens|Saudi Arabia|27-May-2015,KY688120.1|Homo sapiens|Saudi Arabia|10-May-2015
24696	17615	7081	2.49	39636.9100000031	MN507638.1|Lama glama|Qatar|
24783	19072	5711	3.34	36833.2100000024	KT368861.1|camel|Saudi Arabia|Jan-2015
24902	20361	4541	4.48	34483.5100000019	KT868868.1|Homo sapiens|South Korea|08-Jun-2015,KT868865.1|Homo sapiens|South Korea|11-Jun-2015,KT868873.1|Homo sapiens|South Korea|10-Jun-2015,KT868866.1|Homo sapiens|South Korea|11-Jun-2015
24908	20367	4541	4.49	34489.5100000019	KX034094.1|Homo sapiens|South Korea|11-Jun-2015,KX034095.1|Homo sapiens|South Korea|04-Jun-2015,KT868875.1|Homo sapiens|South Korea|10-Jun-2015
24912	20371	4541	4.49	34493.5100000019	KT036372.1|Homo sapiens|China|28-May-2015
24963	19322	5641	3.43	36865.5100000024	MF598668.1|Camelus dromedarius|United Arab Emirates|Mar-2015
24968	19281	5687	3.39	36967.5700000024	MF598675.1|Camelus dromedarius|United Arab Emirates|Mar-2015
24994	19611	5383	3.64	36352.1300000023	MF598663.1|Camelus dromedarius|United Arab Emirates|Mar-2015
25020	20479	4541	4.51	34601.5100000019	KY688121.1|Homo sapiens|Saudi Arabia|22-May-2015
25069	19540	5529	3.53	36735.1900000023	MG757593.1|Homo sapiens|Saudi Arabia|22-Aug-2015
25170	20539	4631	4.44	34941.4100000019	KT326819.1|Homo sapiens|South Korea|22-May-2015
25172	19875	5297	3.75	36348.6700000022	KU851863.1|Homo sapiens|Saudi Arabia|27-Aug-2015
25176	20611	4565	4.52	34808.1500000019	KT368883.1|camel|Saudi Arabia|Apr-2015,KT368882.1|camel|Saudi Arabia|Apr-2015
25188	18437	6751	2.73	39432.6100000029	KX108946.1|Camelus dromedarius|United Arab Emirates|18-May-2015
25217	20122	5095	3.95	35967.4500000021	MN654990.1|Camelus dromedarius|Saudi Arabia|
25269	20208	5061	3.99	35947.7100000021	MN654997.1|Camelus dromedarius|Saudi Arabia|
25292	20751	4541	4.57	34873.5100000019	KT374052.1|Homo sapiens|South Korea|31-May-2015,KX034096.1|Homo sapiens|South Korea|17-Jun-2015,KX034100.1|Homo sapiens|South Korea|03-Jul-2015,KX034098.1|Homo sapiens|South Korea|22-Jun-2015,KT868874.1|Homo sapiens|South Korea|11-Jun-2015
25298	20757	4541	4.57	34879.5100000019	KT868876.1|Homo sapiens|South Korea|10-Jun-2015,KT868872.1|Homo sapiens|South Korea|10-Jun-2015
25304	20763	4541	4.57	34885.5100000019	KX034097.1|Homo sapiens|South Korea|17-Jun-2015
25310	20769	4541	4.57	34891.5100000019	KY688123.1|Homo sapiens|Saudi Arabia|13-May-2015
25316	20269	5047	4.02	35965.1700000021	MF598654.1|Camelus dromedarius|United Arab Emirates|Mar-2015
25373	19428	5945	3.27	37916.9500000025	MF598701.1|Camelus dromedarius|United Arab Emirates|Apr-2015
25443	19914	5529	3.60	37109.1900000023	MN481979.1|Homo sapiens|Saudi Arabia|Sep-2015
25463	19934	5529	3.61	37129.1900000023	KU851860.1|Homo sapiens|Saudi Arabia|24-Aug-2015
25476	19761	5715	3.46	37534.6500000024	KT029139.1|Homo sapiens|South Korea|20-May-2015
25561	19430	6131	3.17	38497.4100000026	MF598643.1|Camelus dromedarius|United Arab Emirates|Mar-2015
25571	20612	4959	4.16	36034.4900000021	KT368880.1|camel|Saudi Arabia|Apr-2015,KT368881.1|camel|Saudi Arabia|Apr-2015
25593	19388	6205	3.12	38685.5500000027	MF598674.1|Camelus dromedarius|United Arab Emirates|Mar-2015
25688	21147	4541	4.66	35269.5100000019	KT374053.1|Homo sapiens|South Korea|13-Jun-2015
25706	21165	4541	4.66	35287.5100000019	KT374051.1|Homo sapiens|South Korea|19-Jun-2015,KT374050.1|Homo sapiens|South Korea|29-Jun-2015
25706	19977	5729	3.49	37794.1900000024	KT006149.2|Homo sapiens|China|27-May-2015
25819	20290	5529	3.67	37485.1900000023	KU851861.1|Homo sapiens|Saudi Arabia|24-Aug-2015
25865	20038	5827	3.44	38159.9700000025	KT368869.1|camel|Saudi Arabia|Mar-2015
25884	19633	6251	3.14	39073.6100000027	MF598695.1|Camelus dromedarius|United Arab Emirates|Mar-2015
25938	19641	6297	3.12	39224.6700000027	MF598632.1|Camelus dromedarius|United Arab Emirates|Mar-2015
25981	20056	5925	3.38	38482.7500000025	MF598621.1|Camelus dromedarius|United Arab Emirates|Mar-2015
26007	20478	5529	3.70	37673.1900000023	MN481982.1|Homo sapiens|Saudi Arabia|Nov-2015
26084	21147	4937	4.28	36501.0700000021	KX034099.1|Homo sapiens|South Korea|26-Jun-2015
26084	21543	4541	4.74	35665.5100000019	KT374055.1|Homo sapiens|South Korea|18-Jun-2015,KT374054.1|Homo sapiens|South Korea|03-Jun-2015,KU308549.1|Homo sapiens|South Korea|08-Jun-2015
26088	21547	4541	4.74	35669.5100000019	KT374056.1|Homo sapiens|South Korea|21-Jun-2015
26098	20373	5725	3.56	38177.7500000024	MT361640.1|||
26118	21071	5047	4.17	36767.1700000021	KF600652.1|Homo sapiens|Saudi Arabia|30-Oct-2012
26201	20672	5529	3.74	37867.1900000023	KU851862.1|Homo sapiens|Saudi Arabia|24-Aug-2015
26213	20684	5529	3.74	37879.1900000023	MG757595.1|Homo sapiens|Saudi Arabia|24-Aug-2015
26215	20686	5529	3.74	37881.1900000023	MG757603.1|Homo sapiens|Saudi Arabia|18-Sep-2015
26235	20706	5529	3.74	37901.1900000023	MG757596.1|Homo sapiens|Saudi Arabia|24-Aug-2015
26243	20890	5353	3.90	37537.8300000023	MF598676.1|Camelus dromedarius|United Arab Emirates|Mar-2015
26243	20714	5529	3.75	37909.1900000023	MN481984.1|Homo sapiens|Saudi Arabia|Nov-2015,KU851864.1|Homo sapiens|Saudi Arabia|24-Aug-2015,MN481981.1|Homo sapiens|Saudi Arabia|Sep-2015,MG757594.1|Homo sapiens|Saudi Arabia|24-Aug-2015
26247	20180	6067	3.33	39048.3700000026	KT806051.1|Homo sapiens|Saudi Arabia|05-Feb-2015
26484	21943	4541	4.83	36065.5100000019	KT374057.1|Homo sapiens|South Korea|24-Jun-2015
26571	21116	5455	3.87	38081.0500000023	MF598696.1|Camelus dromedarius|United Arab Emirates|Mar-2015
26591	19806	6785	2.92	40907.350000003	MG757597.1|Homo sapiens|Saudi Arabia|24-Aug-2015
26597	20672	5925	3.49	39098.7500000025	MG757602.1|Homo sapiens|Saudi Arabia|01-Sep-2015
26608	20685	5923	3.49	39105.5300000025	MG757599.1|Homo sapiens|Saudi Arabia|26-Aug-2015
26637	20968	5669	3.70	38598.5900000024	MF598617.1|Camelus dromedarius|United Arab Emirates|Mar-2015
26650	20091	6559	3.06	40489.4900000029	MF598682.1|Camelus dromedarius|United Arab Emirates|Mar-2015
26807	21288	5519	3.86	38452.0900000024	MF598645.1|Camelus dromedarius|United Arab Emirates|Mar-2015
26917	21388	5529	3.87	38583.1900000024	MH029552.1|Homo sapiens|Saudi Arabia|26-Aug-2015
27001	21472	5529	3.88	38667.1900000024	MN481985.1|Homo sapiens|Saudi Arabia|Nov-2015
27007	21478	5529	3.88	38673.1900000024	MG757600.1|Homo sapiens|Saudi Arabia|01-Sep-2015
27035	21506	5529	3.89	38701.1900000024	MG546331.1|Homo sapiens; cell line Vero p2|Saudi Arabia|15-Oct-2015,MG520076.1|Homo sapiens|Saudi Arabia|15-Oct-2015,MG520075.1|Homo sapiens|Saudi Arabia|13-Oct-2015
27053	20830	6223	3.35	40183.5300000027	KT368879.1|camel|Saudi Arabia|Mar-2015
27139	21342	5797	3.68	39370.6700000025	KJ650098.1|Camelus dromedarius|Qatar|16-Feb-2014
27269	21942	5327	4.12	38508.9700000023	KF961222.1|Homo sapiens|Qatar|17-Oct-2013
27335	22286	5049	4.41	37988.3900000021	MG757605.1|Homo sapiens|Saudi Arabia|14-Apr-2016
27400	21079	6321	3.33	40737.3100000028	MH306207.1|Homo sapiens|Saudi Arabia|01-Aug-2016
27450	22089	5361	4.12	38761.7100000023	MF598616.1|Camelus dromedarius|United Arab Emirates|Mar-2015
27534	20651	6883	3.00	42057.130000003	MG011343.1|Homo sapiens|Saudi Arabia|12-Mar-2016
27535	21048	6487	3.24	41222.5700000028	MG011352.2|Homo sapiens|Saudi Arabia|20-Jul-2016
27569	21410	6159	3.48	40564.4900000027	KM027256.1|Homo sapiens|Saudi Arabia|2014
27577	22282	5295	4.21	38749.4500000023	MF598678.1|Camelus dromedarius|United Arab Emirates|Mar-2015
27673	21654	6019	3.60	40373.0900000026	MF598652.1|Camelus dromedarius|United Arab Emirates|Mar-2015
27706	21957	5749	3.82	39836.3900000025	MN654992.1|Camelus dromedarius|Saudi Arabia|Jul-2016,MN654978.1|Camelus dromedarius|Saudi Arabia|Jun-2016,MN654996.1|Camelus dromedarius|Saudi Arabia|Apr-2016
27709	21388	6321	3.38	41046.3100000028	MG757598.1|Homo sapiens|Saudi Arabia|26-Aug-2015
27793	21504	6289	3.42	41062.7900000027	KX154686.1|Homo sapiens|Saudi Arabia|Feb-2016
27862	22507	5355	4.20	39161.0500000023	KF600630.1|Homo sapiens|Saudi Arabia|13-May-2013
27867	21338	6529	3.27	41643.1900000029	MF598609.1|Camelus dromedarius|United Arab Emirates|Mar-2015
27963	21804	6159	3.54	40958.4900000027	KJ829365.1|Homo sapiens|USA|10-May-2014
27965	21806	6159	3.54	40960.4900000027	MN481970.1|Homo sapiens|Saudi Arabia|Apr-2014
27965	21806	6159	3.54	40960.4900000027	KM027255.1|Homo sapiens|Saudi Arabia|2014,MN481977.1|Homo sapiens|Saudi Arabia|Apr-2014,KM027261.1|Homo sapiens|Saudi Arabia|15-Apr-2014
27965	21806	6159	3.54	40960.4900000027	KM027259.1|Homo sapiens|Saudi Arabia|14-Apr-2014
27969	21654	6315	3.43	41293.6500000028	MF598677.1|Camelus dromedarius|United Arab Emirates|Mar-2015
27989	20526	7463	2.75	43735.9300000033	MF598702.1|Camelus dromedarius|United Arab Emirates|Apr-2015
28012	21325	6687	3.19	42121.570000003	MF598687.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28020	21713	6307	3.44	41327.7700000028	MF598651.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28188	21505	6683	3.22	42289.1300000029	KX154692.1|Homo sapiens|Saudi Arabia|27-Feb-2016
28195	21708	6487	3.35	41882.5700000029	MG011341.1|Homo sapiens|Saudi Arabia|06-Mar-2016
28288	20471	7817	2.62	44781.8700000035	MG011347.1|Homo sapiens|Saudi Arabia|13-Mar-2016
28299	19548	8751	2.23	46763.610000004	KT225476.2|Homo sapiens|Thailand|17-Jun-2015
28341	23010	5331	4.32	39589.4100000023	MN654971.1|Camelus dromedarius|Saudi Arabia|Dec-2015
28357	22198	6159	3.60	41352.4900000027	MN481973.1|Homo sapiens|Saudi Arabia|Apr-2014
28359	22200	6159	3.60	41354.4900000027	MN481978.1|Homo sapiens|Saudi Arabia|Apr-2014,KM027260.1|Homo sapiens|Saudi Arabia|21-Apr-2014
28361	21806	6555	3.33	42192.0500000029	KM027258.1|Homo sapiens|Saudi Arabia|12-Apr-2014
28369	22940	5429	4.23	39824.1900000023	MN654991.1|Camelus dromedarius|Saudi Arabia|Nov-2015
28410	20889	7521	2.78	44279.3100000034	MF598712.1|Camelus dromedarius|United Arab Emirates|Apr-2015
28464	21883	6581	3.33	42349.9100000029	MF598683.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28468	19737	8731	2.26	46890.410000004	MW545528.1|Camelus dromedarius|United Arab Emirates|2015
28512	22771	5741	3.97	40625.5100000025	MF598619.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28585	21900	6685	3.28	42690.350000003	KX154693.1|Homo sapiens|Saudi Arabia|29-Feb-2016
28613	21908	6705	3.27	42760.550000003	MG011354.2|Homo sapiens|Saudi Arabia|16-Jun-2016
28615	21166	7449	2.84	44332.3900000034	MG011349.1|Homo sapiens|Saudi Arabia|13-Apr-2016
28663	22582	6081	3.71	41493.9100000027	MF598670.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28665	22542	6123	3.68	41584.5300000027	MG011353.2|Homo sapiens|Saudi Arabia|01-Jun-2016
28713	22554	6159	3.66	41708.4900000027	MK039552.1|Homo sapiens|Jordan|21-Apr-2014
28755	22596	6159	3.67	41750.4900000027	KP223131.1|Homo sapiens|USA|Jun-2014
28767	23026	5741	4.01	40880.5100000025	MF598669.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28773	20832	7941	2.62	45528.5100000036	MF598624.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28793	22906	5887	3.89	41214.5700000026	MF598648.1|Camelus dromedarius|United Arab Emirates|Mar-2015
28975	19908	9067	2.20	48106.3700000042	MG757604.1|Homo sapiens|Saudi Arabia|31-Jan-2016
28984	22839	6145	3.72	41949.9500000027	MG011359.2|Homo sapiens|Saudi Arabia|29-Mar-2016
29093	21362	7731	2.76	45405.4100000035	MT226604.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
29135	22060	7075	3.12	44063.2500000032	MT226600.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
29146	24099	5047	4.77	39795.1700000022	KM015348.1|Homo sapiens|United Kingdom|10-Feb-2013
29151	21360	7791	2.74	45590.0100000035	MT226606.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
29284	23211	6073	3.82	42098.0300000027	MN654980.1|Camelus dromedarius|Saudi Arabia|Mar-2016
29299	21454	7845	2.73	45851.9500000036	MG011348.1|Homo sapiens|Saudi Arabia|18-Apr-2016
29304	23211	6093	3.81	42160.2300000027	MN654972.1|Camelus dromedarius|Saudi Arabia|Jun-2016
29373	23182	6191	3.74	42436.0100000027	KJ713295.1|Camelus dromedarius|Saudi Arabia|Nov-2013
29543	22002	7541	2.92	45454.5100000034	MF598650.1|Camelus dromedarius|United Arab Emirates|Mar-2015
29586	23321	6265	3.72	42805.1500000028	MF598658.1|Camelus dromedarius|United Arab Emirates|Mar-2015
29693	23896	5797	4.12	41924.6700000026	KJ713296.1|Camelus dromedarius|Saudi Arabia|Nov-2013
29774	23219	6555	3.54	43605.0500000029	MH259486.1|Camelus dromedarius|Saudi Arabia|15-Jul-2014
29812	20411	9401	2.17	49648.1100000044	KX154689.1|Homo sapiens|Saudi Arabia|Jan-2016
29897	23342	6555	3.56	43728.0500000029	KM027257.1|Homo sapiens|Saudi Arabia|07-Apr-2014
29967	24124	5843	4.13	42295.7300000026	MF598641.1|Camelus dromedarius|United Arab Emirates|Mar-2015
30140	22893	7247	3.16	45431.1700000033	KY581684.1|Homo sapiens|United Arab Emirates|10-Jul-2013
30188	21789	8399	2.59	47909.8900000039	KX154685.1|Homo sapiens|Saudi Arabia|Feb-2016
30222	23667	6555	3.61	44053.0500000029	MK052676.1|Homo sapiens|Jordan|23-May-2014,MK039553.1|Homo sapiens|Jordan|23-May-2014
30344	24073	6271	3.84	43575.8100000028	MF598597.1|Camelus dromedarius|United Arab Emirates|Mar-2015
30379	23634	6745	3.50	44610.950000003	MN481964.1|Homo sapiens|Saudi Arabia|Apr-2014,MN481965.1|Homo sapiens|Saudi Arabia|Apr-2014,MN481966.1|Homo sapiens|Saudi Arabia|Apr-2014
30381	23636	6745	3.50	44612.950000003	MN481976.1|Homo sapiens|Saudi Arabia|Apr-2014
30477	24292	6185	3.93	43527.3500000027	MG011358.2|Homo sapiens|Saudi Arabia|21-Sep-2016
30536	23289	7247	3.21	45827.1700000033	KY581685.1|Homo sapiens|United Arab Emirates|12-Jul-2013
30544	24421	6123	3.99	43463.5300000027	MH371127.1||Saudi Arabia|25-Nov-2016
30624	23261	7363	3.16	46159.9300000033	MF598707.1|Camelus dromedarius|United Arab Emirates|Apr-2015,MF598708.1|Camelus dromedarius|United Arab Emirates|Apr-2015
30874	22347	8527	2.62	48865.9700000039	KX154690.1|Homo sapiens|Saudi Arabia|Jan-2016
30884	25553	5331	4.79	42132.4100000023	MN654982.1|Camelus dromedarius|Saudi Arabia|Jan-2017,MN655000.1|Camelus dromedarius|Saudi Arabia|Feb-2017
30887	24764	6123	4.04	43806.5300000027	OL622035.1|Homo sapiens|Saudi Arabia: Riyadh|03-Jan-2017
30980	22185	8795	2.52	49537.4500000041	KX154688.1|Homo sapiens|Saudi Arabia|Feb-2016
30980	22581	8399	2.69	48701.8900000039	MG011346.1|Homo sapiens|Saudi Arabia|14-Mar-2016
31015	24950	6065	4.11	43812.1500000027	KU242424.1|Camelus dromedarius|United Arab Emirates|04-Mar-2014
31072	24531	6541	3.75	44873.5100000029	KF186565.1|Homo sapiens|Saudi Arabia|22-Apr-2013,KF186567.1|Homo sapiens|Saudi Arabia|09-May-2013,KF600651.1|Homo sapiens|Saudi Arabia|23-May-2013,KF600627.1|Homo sapiens|Saudi Arabia|07-May-2013,KF186564.1|Homo sapiens|Saudi Arabia|01-May-2013
31096	24183	6913	3.50	45682.4300000031	KT877351.1|Camelus dromedarius|Saudi Arabia|Sep-2014
31111	21518	9593	2.24	51352.2300000045	KX154691.1|Homo sapiens|Saudi Arabia|25-Feb-2016
31131	25510	5621	4.54	42991.3100000025	MH259485.1|Camelus dromedarius|Saudi Arabia|15-Jul-2014
31152	24131	7021	3.44	45966.3100000032	KJ156952.1|Homo sapiens|Saudi Arabia|01-Mar-2013
31218	22015	9203	2.39	50636.3300000043	MN655017.1|Camelus dromedarius|Saudi Arabia|Mar-2016
31225	23922	7303	3.28	46634.3300000033	MG011362.1|Homo sapiens|Saudi Arabia|25-Dec-2016
31226	21627	9599	2.25	51479.8900000045	MN655011.1|Camelus dromedarius|Saudi Arabia|Jun-2016
31379	23792	7587	3.14	47387.5700000035	MN654975.1|Camelus dromedarius|Saudi Arabia|Jul-2016
31402	24637	6765	3.64	45676.1500000031	KY581695.1|camel|United Arab Emirates|01-Jun-2014,KY581698.1|camel|United Arab Emirates|01-Jun-2014,KY581699.1|camel|United Arab Emirates|01-Jun-2014
31409	24664	6745	3.66	45640.950000003	KT121574.1|Homo sapiens|Saudi Arabia|07-May-2014
31411	25346	6065	4.18	44208.1500000027	KU242423.1|Camelus dromedarius|United Arab Emirates|12-Mar-2014
31417	24672	6745	3.66	45648.950000003	KT121580.1|Homo sapiens|Saudi Arabia|28-Apr-2014,KT121573.1|Homo sapiens|Saudi Arabia|09-May-2014,KT121572.1|Homo sapiens|Saudi Arabia|12-May-2014,KT121575.1|Homo sapiens|Saudi Arabia|12-May-2014
31498	24291	7207	3.37	46704.7700000033	MF598623.1|Camelus dromedarius|United Arab Emirates|Mar-2015
31541	22162	9379	2.36	51330.6900000044	MT226603.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
31585	25008	6577	3.80	45462.470000003	KJ713297.1|Camelus dromedarius|Saudi Arabia|Nov-2013
31677	24292	7385	3.29	47259.3500000034	MF598638.1|Camelus dromedarius|United Arab Emirates|Mar-2015
31745	21648	10097	2.14	53049.6700000048	MT226607.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
31775	24188	7587	3.19	47783.5700000035	MN654970.1|Camelus dromedarius|Saudi Arabia|Jul-2016
31811	25066	6745	3.72	46042.9500000031	KT121576.1|Homo sapiens|Saudi Arabia|18-May-2014
31813	25068	6745	3.72	46044.9500000031	KT121577.1|Homo sapiens|Saudi Arabia|11-May-2014
31848	24341	7507	3.24	47687.7700000034	MG011351.2|Homo sapiens|Saudi Arabia|10-Apr-2016
31864	24927	6937	3.59	46501.0700000032	KF600634.1|Homo sapiens|Saudi Arabia|30-May-2013
31864	25323	6541	3.87	45665.510000003	KJ156866.1|Homo sapiens|Saudi Arabia|02-May-2013
31909	25164	6745	3.73	46140.9500000031	MN481969.1|Homo sapiens|Saudi Arabia|Jun-2014
31918	25133	6785	3.70	46234.3500000031	MF598614.1|Camelus dromedarius|United Arab Emirates|Mar-2015
31953	25450	6503	3.91	45674.3300000029	MN654973.1|Camelus dromedarius|Saudi Arabia|Nov-2015
31987	25568	6419	3.98	45531.0900000029	KF192507.1|Homo sapiens|United Arab Emirates|2013
32037	22362	9675	2.31	52451.2500000045	MT226602.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
32207	24924	7283	3.42	47574.1300000033	KF600632.1|Homo sapiens|Saudi Arabia|23-May-2013
